period,heavy_sour,heavy_sweet,light_sour,light_sweet,medium,extraction_date
2017-06,3703420,182924,317632,597996,1992984,2023-07
2017-07,3540712,248668,472416,479556,2128980,2023-07
2017-08,3733100,320600,279468,713300,1830640,2023-07
2017-09,3211684,351820,423556,414624,1750140,2023-07
2017-10,3645824,332920,200144,624736,1863428,2023-07
2017-11,3583468,333228,176960,470736,1882048,2023-07
2017-12,3763648,320796,193396,372232,2104788,2023-07
2018-01,3867248,314216,248528,487256,2042208,2023-07
2018-02,3489556,252056,192696,429352,1514716,2023-07
2018-03,3819676,249704,177296,441560,1925812,2023-07
2018-04,3751692,366464,212772,435792,2166304,2023-07
2018-05,3764208,459452,236908,364840,1974588,2023-07
2018-06,3882284,419076,216048,549388,2053128,2023-07
2018-07,3800720,391888,315896,348152,2050132,2023-07
2018-08,3816260,256032,226660,413392,2222024,2023-07
2018-09,3553396,287532,295960,231168,2010204,2023-07
2018-10,3948448,250684,235648,322112,1626408,2023-07
2018-11,3600016,289212,220752,291172,1933876,2023-07
2018-12,3739624,261660,271124,296352,1569960,2023-07
2019-01,3937108,360752,264264,285040,1713432,2023-07
2019-02,2797536,176344,264460,243012,1509844,2023-07
2019-03,3248504,244272,270480,396480,1727992,2023-07
2019-04,3237136,243348,355852,307580,1734908,2023-07
2019-05,3322536,334236,330904,505736,1701840,2023-07
2019-06,3324412,236964,276164,482692,1687532,2023-07
2019-07,3611860,342580,282212,290332,1495340,2023-07
2019-08,3465392,261968,180208,408912,1711164,2023-07
2019-09,3061296,230104,299264,292908,1562008,2023-07
2019-10,3125640,286216,255248,280756,1469944,2023-07
2019-11,3115728,182392,235844,295372,1057532,2023-07
2019-12,3631740,216608,199332,326284,1557472,2023-07
2020-01,3586772,175448,173712,237020,1391544,2023-07
2020-02,3271492,214872,217784,180964,1408540,2023-07
2020-03,3430812,245336,189420,119084,1480416,2023-07
2020-04,2827580,340648,175756,84364,1228304,2023-07
2020-05,2916396,196084,114436,182028,1874460,2023-07
2020-06,2771608,257600,218372,275996,1846516,2023-07
2020-07,2769620,372008,200844,171724,1612240,2023-07
2020-08,2692536,278068,198996,276024,1256332,2023-07
2020-09,2721460,255108,223664,198632,1135064,2023-07
2020-10,2780764,239596,232092,210392,1142988,2023-07
2020-11,2842112,307468,170800,209608,1192352,2023-07
2020-12,3072440,244944,122416,215068,1345848,2023-07
2021-01,3070704,225288,101108,325892,1353436,2023-07
2021-02,2406460,220332,100408,323260,1356208,2023-07
2021-03,3054772,236292,123732,235256,1383242,2023-07
2021-04,2837296,219576,176288,386876,1270444,2023-07
2021-05,2887808,202720,197932,438144,1367492,2023-07
2021-06,3138940,172984,106204,476868,1693328,2023-07
2021-07,3022712,209076,157220,350252,1814316,2023-07
2021-08,2985136,278292,109676,386988,1653176,2023-07
2021-09,2992892,237496,148512,302484,1799756,2023-07
2021-10,2769172,225288,84364,342384,1761928,2023-07
2021-11,3102876,208432,74284,274960,1659728,2023-07
2021-12,3378480,252924,145404,331996,1471288,2023-07
2022-01,3351180,321244,167132,205940,1487850,2023-07
2022-02,2794316,264656,74816,181944,1509368,2023-07
2022-03,3282468,262668,93184,313684,1616720,2023-07
2022-04,2970800,220920,122808,321244,1453788,2023-07
2022-05,3325196,172452,80752,332752,1438248,2023-07
2022-06,2906764,193284,90216,488432,1758764,2023-07
2022-07,3242400,265216,172256,354648,1697612,2023-07
2022-08,3154116,395892,180012,338800,1425676,2023-07
2022-09,3241812,179452,171276,348124,1324680,2023-07
2022-10,3413564,224756,185220,366044,1224132,2023-07
2022-11,2911496,331072,149268,413532,1438808,2023-07
2022-12,2911468,217896,90356,261996,1717716,2023-07
2023-01,3300892,202412,205744,325472,1371692,2023-07
2023-02,3270652,165620,175112,277340,1280104,2023-07
2023-03,3239460,184940,244776,281624,1537340,2023-07
